village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end,s2_pre_date,s2_pre_ndvi_mean,s2_pre_ndwi_mean,s2_pre_cloud_pct,s1_pre_fallback_used,s1_pre_date,s1_pre_vv_db_mean,s1_pre_vh_db_mean,s2_post_date,s2_post_ndvi_mean,s2_post_ndwi_mean,s2_post_cloud_pct,s1_post_fallback_used,s1_post_date,s1_post_vv_db_mean,s1_post_vh_db_mean,actual_rainfall_total_mm,actual_rainfall_loss_window_mm,normal_rainfall_total_mm,normal_rainfall_loss_window_mm,rainfall_deviation_pct,fetch_status,error_log
Chittapur (Kalaburagi),17.1167,76.65,2024-06-14,2024-08-06,2024-09-01,2024-06-14,0.0143,-0.0078,100.0,True,2024-06-19,-8.29,-19.31,2024-08-28,0.4023,-0.3593,57.52,True,2024-08-30,-9.78,-18.8,,,,,,PARTIAL,Rainfall: Actual rainfall HTTP 429; Climate normal HTTP 429
Shahabad (Kalaburagi),17.3333,76.9333,2024-06-20,2024-08-12,2024-09-08,2024-06-24,0.1047,-0.1057,95.72,True,2024-06-19,-10.79,-20.78,2024-09-12,0.4997,-0.4674,0.38,False,,,,,,436.44,149.51,,PARTIAL,Rainfall: Actual rainfall HTTP 429
Hagaribommanahalli (Bellary),15.0383,76.2117,2024-07-06,2024-08-28,2024-09-24,2024-07-04,0.0767,-0.0792,100.0,True,2024-07-01,-8.73,-15.26,2024-09-17,0.3796,-0.367,79.75,True,2024-09-23,-9.4,-15.89,408.8,98.1,288.53,97.44,41.68,SUCCESS,
Kudligi (Bellary),14.9033,76.3867,2024-07-08,2024-09-01,2024-09-28,2024-07-09,0.0162,0.0091,100.0,True,2024-07-13,-6.57,-15.3,2024-09-27,0.0128,-0.0038,100.0,True,2024-09-23,-7.52,-15.81,481.2,111.6,350.05,117.75,37.47,SUCCESS,
Kampli (Bellary),15.4,76.6,2024-07-04,2024-08-26,2024-09-21,2024-07-09,0.3834,-0.3696,7.38,False,,,,2024-09-22,-0.0929,0.1541,100.0,True,2024-09-23,-9.34,-16.93,303.7,67.5,265.33,88.96,14.46,SUCCESS,
Humnabad (Bidar),17.7667,76.9333,2024-06-16,2024-08-10,2024-09-04,2024-06-14,0.0428,-0.047,100.0,True,2024-06-19,-10.03,-19.48,2024-09-02,-0.024,0.0139,100.0,True,2024-08-30,-7.39,-14.42,884.5,288.6,477.64,158.18,85.18,SUCCESS,
Basavakalyan (Bidar),17.87,76.95,2024-06-14,2024-08-08,2024-09-02,2024-06-14,0.023,-0.0193,100.0,True,2024-06-19,-6.18,-15.03,2024-09-02,-0.0197,0.0065,100.0,True,2024-08-30,-6.06,-15.23,840.9,269.6,483.41,159.83,73.95,SUCCESS,
Bhalki (Bidar),18.0483,76.3233,2024-06-12,2024-08-05,2024-08-30,2024-06-14,0.0085,0.0072,100.0,True,2024-06-07,-7.69,-15.99,2024-08-28,0.086,-0.0598,100.0,True,2024-08-30,-8.0,-15.07,753.9,162.6,477.18,155.61,57.99,SUCCESS,
Aurad (Bidar),17.4667,77.2167,2024-06-18,2024-08-12,2024-09-06,2024-06-19,0.0448,-0.0372,100.0,True,2024-06-19,-10.53,-22.49,2024-09-12,0.45,-0.3699,74.66,True,2024-09-06,-7.77,-14.17,894.3,371.5,493.52,158.05,81.21,SUCCESS,
Hoovina Hadagali (Bellary),14.8,75.9333,2024-07-02,2024-08-24,2024-09-19,2024-07-04,0.1064,-0.1145,100.0,True,2024-07-01,-11.54,-19.97,2024-09-12,0.2587,-0.2313,42.29,False,,,,574.4,92.8,337.48,92.1,70.2,SUCCESS,
